,sklearn,manual_torch,torch_module
emp_length_missing,0.056173745542764664,0.055947575718164444,0.058473363518714905
emp_length,-0.08141407370567322,-0.08142755925655365,-0.08254026621580124
age,0.02029026299715042,0.02089032530784607,0.022500313818454742
log_income,-0.5085984468460083,-0.5068341493606567,-0.3729235827922821
log_loan_amnt,-0.025249313563108444,-0.027099046856164932,-0.20009274780750275
loan_to_income,-0.42145633697509766,-0.4168565571308136,-0.05116993933916092
loan_to_income_sq,0.18419764935970306,0.18160520493984222,-0.0184809397906065
over_affordability_cutoff,0.697353184223175,0.6968899369239807,0.6893742680549622
cred_hist_length,-0.01318762730807066,-0.014098611660301685,-0.01177168544381857
prior_default,0.4651520252227783,0.46564313769340515,0.47431209683418274
home_OWN,-0.32354143261909485,-0.32274433970451355,-0.3235434591770172
home_RENT,-0.4450279474258423,-0.4452905058860779,-0.42139849066734314
home_OTHER,0.05121264606714249,0.051692888140678406,0.04283012077212334
intent_DEBTCONSOLIDATION,0.2781655192375183,0.27897244691848755,0.2859554588794708
intent_HOMEIMPROVEMENT,0.3057606816291809,0.30683091282844543,0.3002416789531708
intent_MEDICAL,0.22479134798049927,0.22535139322280884,0.2263006567955017
intent_PERSONAL,0.07008519023656845,0.07086708396673203,0.06715971231460571
intent_VENTURE,-0.08069781213998795,-0.08002948015928268,-0.0772879421710968
rent_x_loan_to_income,1.0971338748931885,1.0976916551589966,1.0706344842910767
(intercept),-1.6485669612884521,-1.6482570171356201,-1.6498888731002808
