epoch,manual_torch,torch_module
0,0.6931471805579452,0.7174494851167297
1,0.6484435435781346,0.667914357613848
2,0.5215885906637711,0.5139117040815565
3,0.5125178642758844,0.5067450883038176
4,0.5060532961766042,0.5015402561252045
5,0.5014339609309322,0.4976478500606811
6,0.4979433256960249,0.4946481892746739
7,0.4952280393415513,0.4922708129186415
8,0.4930486957448307,0.4903409396890645
9,0.49125301848436603,0.48873808785364736
10,0.4897402675183385,0.4873805129428575
11,0.48844017850945176,0.48620967072182214
12,0.487304030990017,0.4851838629478388
13,0.48629625036713287,0.48427232250956626
14,0.4853909357667538,0.48345228437885757
15,0.4845685767241718,0.48270651965450667
16,0.48381442798244334,0.48202190037729664
17,0.48311710087816995,0.4813882647410577
18,0.4824677391701116,0.48079768008983376
19,0.4818593496428946,0.48024387670629487
20,0.48128636331436697,0.47972185388028427
21,0.48074429073397623,0.4792275797820911
22,0.4802294795953513,0.47875777342983045
23,0.4797389266492728,0.47830973818495887
24,0.47927013955019754,0.4778812372568568
25,0.4788210296968571,0.47747039790270907
26,0.4783898312063096,0.47707563827316274
27,0.47797503769081945,0.4766956105450313
28,0.4775753534223597,0.47632915675221993
29,0.47718965486904347,0.4759752740570529
30,0.4768169604624973,0.47563308737141374
31,0.47645640651759663,0.47530182756922507
32,0.4761072280103825,0.4749808140706338
33,0.47576874307901246,0.4746694408105422
34,0.4754403404715294,0.47436716487263825
35,0.4751214692947542,0.4740734972169657
36,0.4748116305963902,0.4737879950712103
37,0.4745103704010187,0.4735102556456062
38,0.47421727391464696,0.47323991091018586
39,0.473931960668864,0.47297662322742534
40,0.47365408042794255,0.47272008167863944
41,0.47338330971733705,0.47246999895547537
42,0.4731193488622883,0.47222610871465337
43,0.4728619194470217,0.4719881633143219
44,0.4726107621231009,0.47175593186663356
45,0.4723656347090853,0.4715291985536934
46,0.47212631053471443,0.4713077611640822
47,0.47189257699141485,0.47109142981505475
48,0.4716642342578734,0.4708800258318546
49,0.47144109417489827,0.4706733807606385
50,0.47122297924824585,0.4704713354955774
51,0.4710097217616506,0.4702737395039884
52,0.4708011629852071,0.47008045013601774
53,0.4705971524666097,0.46989133200756755
54,0.4703975473946986,0.4697062564469351
55,0.47020221202634516,0.46952510099709804
56,0.4700110171690332,0.4693477489667846
57,0.4698238397125814,0.46917408902446456
58,0.4696405622043666,0.4690040148302357
59,0.46946107246317437,0.4688374247012747
60,0.46928526322744313,0.4686742213071069
61,0.4691130318342196,0.46851431139144323
62,0.46894427992560156,0.4683576055177564
63,0.4687789131798437,0.46820401783611526
64,0.46861684106463736,0.46805346586910945
65,0.46845797661037253,0.4679058703149543
66,0.4683022362014363,0.4677611548660868
67,0.4681495393838252,0.46761924604176486
68,0.46799980868753815,0.46748007303334255
69,0.467852969462381,0.46734356756104756
70,0.46770894972596194,0.46720966374120737
71,0.4675676800227825,0.46707829796299005
72,0.467429093293443,0.4669494087738152
73,0.46729312475307977,0.46682293677268677
74,0.4671597117782408,0.46669882451076494
75,0.4670287938014825,0.46657701639857097
76,0.46690031221304173,0.46645745861927224
77,0.46677421026899907,0.4663400990475513
78,0.46665043300540143,0.4662248871736097
79,0.466528927157868,0.4661117740318965
80,0.4664096410862399,0.4660007121341941
81,0.466292524703881,0.4658916554067231
82,0.466177529411267,0.46578455913096234
83,0.466064608033537,0.465679379887903
84,0.46595371476170744,0.46557607550548485
85,0.4658448050972749,0.46547460500898163
86,0.4657378357999609,0.4653749285741222
87,0.4656327648383674,0.4652770074827567
88,0.4655295513433374,0.46518080408088525
89,0.4654281555638277,0.46508628173889066
90,0.4653285388251195,0.46499340481382223
91,0.4652306634892048,0.4649021386135939
92,0.4651344929172031,0.4648124493629712
93,0.4650399914336702,0.4647243041712295
94,0.4649471242926754,0.46463767100137526
95,0.46485585764553145,0.46455251864083424
96,0.46476615851007236,0.4644688166735116
97,0.46467799474137833,0.46438653545314135
98,0.46459133500386207,0.4643056460778471
99,0.46450614874462626,0.46422612036584093
100,0.46442240616802266,0.4641479308321927
101,0.46434007821133466,0.46407105066660903
102,0.4642591365215207,0.463995453712164
103,0.4641795534329558,0.4639211144449255
104,0.4641013019461143,0.4638480079544306
105,0.4640243557071406,0.4637761099249615
106,0.46394868898825914,0.46370539661757776
107,0.46387427666897646,0.46363584485286774
108,0.463801094218034,0.4635674319943781
109,0.4637291176760715,0.46350013593268774
110,0.4636583236389626,0.46343393507009245
111,0.46358868924178864,0.4633688083058716
112,0.4635201921434203,0.4633047350221046
113,0.4634528105116711,0.463241695070012
114,0.4633865230090015,0.46317966875679656
115,0.4633213087787409,0.46311863683295873
116,0.4632571474318061,0.4630585804800654
117,0.4631940190338911,0.4629994812989494
118,0.46313190409310706,0.4629413212983226
119,0.4630707835480507,0.46288408288378047
120,0.463010638756283,0.4628277488471832
121,0.4629514514831988,0.46277230235639594
122,0.46289320389126926,0.46271772694537183
123,0.46283587852964403,0.4626640065045639
124,0.462779458324093,0.4626111252716518
125,0.4627239265672773,0.4625590678225693
126,0.46266926690933335,0.4625078190628208
127,0.46261546334875797,0.46245736421907513
128,0.4625625002235812,0.46240768883102445
129,0.46251036220281677,0.46235877874349846
130,0.46245903427817736,0.4623106200988235
131,0.4624085017560454,0.4622631993294167
132,0.46235875024968903,0.4622165031506062
133,0.4623097656717131,0.4621705185536695
134,0.46226153422673777,0.4621252327990798
135,0.46221404240429403,0.4620806334099545
136,0.46216727697193033,0.46203670816569653
137,0.46212122496852004,0.4619934450958238
138,0.46207587369776437,0.4619508324739765
139,0.46203121072188313,0.46190885881209937
140,0.4619872238554853,0.4618675128547896
141,0.4619439011596155,0.4618267835738074
142,0.461901230935967,0.46178666016274056
143,0.4618592017212595,0.46174713203181944
144,0.46181780228177116,0.4617081888028775
145,0.4617770216080235,0.46166982030445086
146,0.46173684890961286,0.4616320165670134
147,0.46169727361018215,0.46159476781834224
148,0.4616582853425302,0.46155806447900943
149,0.46161987394385184,0.4615218971579959
150,0.4615820294511084,0.46148625664842297
151,0.4615447420965185,0.4614511339233985
152,0.461508002303171,0.46141652013197293
153,0.46147180068075266,0.461382406595203
154,0.4614361280213879,0.46134878480231817
155,0.46140097529558743,0.4613156464069875
156,0.46136633364830193,0.46128298322368433
157,0.4613321943950778,0.4612507872241436
158,0.461298549018311,0.4612190505339116
159,0.46126538916359744,0.4611877654289836
160,0.4612327066361755,0.4611569243325264
161,0.46120049339745933,0.4611265198116856
162,0.46116874156165827,0.46109654457447125
163,0.46113744339248236,0.4610669914667235
164,0.4611065912999283,0.46103785346915266
165,0.4610761778371474,0.4610091236944543
166,0.46104619569738836,0.4609807953844936
167,0.46101663771101764,0.46095286190756124
168,0.46098749684261103,0.46092531675569526
169,0.4609587661881169,0.4608981535420685
170,0.4609304389720884,0.4608713659984396
171,0.4609025085449819,0.46084494797266556
172,0.4608749683805213,0.46081889342627486
173,0.46084781207312475,0.46079319643209743
174,0.4608210333353936,0.4607678511719528
175,0.46079462599565973,0.4607428519343917
176,0.46076858399559245,0.4607181931124925
177,0.4607429013878613,0.4606938692017091
178,0.4607175723338528,0.46066987479776905
179,0.4606925911014421,0.4606462045946212
180,0.46066795206281597,0.46062285338243153
181,0.4606436496923459,0.46059981604562517
182,0.46061967856451114,0.46057708756097315
183,0.4605960333518692,0.46055466299572484
184,0.46057270882307283,0.46053253750578166
185,0.4605496998409333,0.46051070633391356
186,0.4605270013605265,0.4604891648080159
187,0.4605046084273432,0.4604679083394055
188,0.4604825161754807,0.46044693242115636
189,0.46046071982587533,0.4604262326264719
190,0.46043921468457466,0.46040580460709424
191,0.4604179961410489,0.46038564409174915
192,0.4603970596665396,0.4603657468846255
193,0.4603764008124449,0.46034610886388905
194,0.4603560152087415,0.46032672598022845
195,0.4603358985624408,0.4603075942554342
196,0.4603160466560791,0.4602887097810086
197,0.4602964553462418,0.460270068716806
198,0.46027712056211884,0.46025166728970335
199,0.4602580383040925,0.4602335017922994
200,0.46023920464235596,0.460215568581642
201,0.4602206157155615,0.46019786407798396
202,0.4602022677294979,0.46018038476356504
203,0.46018415695579723,0.46016312718142016
204,0.4601662797306683,0.46014608793421347
205,0.4601486324536584,0.46012926368309814
206,0.4601312115864411,0.4601126511465991
207,0.46011401365162913,0.4600962470995206
208,0.46009703523161466,0.46008004837187677
209,0.4600802729674316,0.4600640518478451
210,0.4600637235576439,0.4600482544647412
211,0.4600473837572566,0.46003265321201636
212,0.46003125037665,0.4600172451302752
213,0.46001532028053543,0.46000202731031464
214,0.45999959038693466,0.4599869968921825
215,0.45998405766617845,0.4599721510642554
216,0.45996871913992765,0.45995748706233736
217,0.45995357188021413,0.4599430021687751
218,0.4599386130085011,0.4599286937115931
219,0.45992383969476336,0.4599145590636459
220,0.4599092491565867,0.45990059564178803
221,0.45989483865828523,0.45988680090606054
222,0.459880605510037,0.45987317235889547
223,0.45986654706703795,0.45985970754433453
224,0.4598526607286722,0.4598464040472658
225,0.4598389439376998,0.4598332594926747
226,0.45982539417946094,0.4598202715449098
227,0.459812008981096,0.45980743790696554
228,0.4597987859107813,0.45979475631977673
229,0.45978572257698175,0.459782224561529
230,0.4597728166277158,0.45976984044698255
231,0.4597600657498373,0.4597576018268103
232,0.45974746766833163,0.45974550658694713
233,0.4597350201456245,0.4597335526479546
234,0.4597227209809064,0.4597217379643968
235,0.4597105680094681,0.45971006052422897
236,0.45969855910205243,0.45969851834819836
237,0.45968669216421604,0.45968710948925656
238,0.4596749651357054,0.45967583203198437
239,0.4596633759898446,0.45966468409202643
240,0.45965192273293515,0.45965366381553807
241,0.4596406034036681,0.45964276937864357
242,0.4596294160725465,0.4596319989869027
243,0.4596183588413205,0.45962135087479045
244,0.45960742984243297,0.4596108233051851
245,0.4595966272384751,0.4596004145688665
246,0.45958594922165413,0.4595901229840246
247,0.45957539401326986,0.4595799468957771
248,0.45956495986320245,0.45956988467569654
249,0.45955464504940946,0.4595599347213463
250,0.4595444478774327,0.4595500954558259
251,0.4595343666799148,0.4595403653273243
252,0.4595243998161249,0.459530742808683
253,0.45951454567149286,0.4595212263969661
254,0.4595048026571537,0.4595118146130393
255,0.45949516920949973,0.45950250600115705
256,0.4594856437897409,0.45949329912855696
257,0.4594762248834745,0.4594841925850626
258,0.45946691100026255,0.45947518498269296
259,0.459457700673217,0.45946627495528003
260,0.4594485924585932,0.4594574611580932
261,0.4594395849353902,0.45944874226747123
262,0.45943067670495963,0.4594401169804599
263,0.4594218663906218,0.4594315840144581
264,0.4594131526372876,0.45942314210686946
265,0.45940453411108956,0.45941479001476027
266,0.459396009499018,0.45940652651452496
267,0.459387577508565,0.4593983504015567
268,0.45937923686737525,0.4593902604899244
269,0.45937098632290163,0.45938225561205603
270,0.45936282464206957,0.4593743346184274
271,0.4593547506109459,0.4593664963772569
272,0.459346763034414,0.4593587397742057
273,0.4593388607358566,0.4593510637120837
274,0.4593310425568414,0.4593434671105607
275,0.4593233073568155,0.45933594890588275
276,0.45931565401280344,0.45932850805059433
277,0.4593080814191121,0.4593211435132642
278,0.4593005884870394,0.459313854278218
279,0.4592931741445902,0.4593066393452748
280,0.4592858373361957,0.4592994977294881
281,0.45927857702243935,0.459292428460892
282,0.4592713921797864,0.4592854305842526
283,0.4592642818003196,0.45927850315882196
284,0.4592572448914787,0.45927164525809905
285,0.45925028047580513,0.45926485596959293
286,0.4592433875906915,0.45925813439459084
287,0.45923656528813506,0.4592514796479312
288,0.45922981263449564,0.4592448908577797
289,0.4592231287102587,0.4592383671654096
290,0.45921651260980156,0.459231907724986
291,0.45920996344116455,0.4592255117033551
292,0.45920348032582614,0.45921917827983444
293,0.4591970623984815,0.45921290664601017
294,0.4591907088068262,0.4592066960055355
295,0.4591844187113423,0.4592005455739337
296,0.459178191285089,0.45919445457840474
297,0.4591720257134978,0.45918842225763473
298,0.4591659211941691,0.45918244786160906
299,0.45915987693667487,0.4591765306514292
300,0.45915389216236324,0.45917066989913186
301,0.45914796610416647,0.45916486488751224
302,0.4591420980064138,0.4591591149099495
303,0.4591362871246456,0.4591534192702363
304,0.459130532725432,0.45914777728240996
305,0.4591248340861947,0.45914218827058845
306,0.4591191904950314,0.4591366515688066
307,0.45911360125054373,0.4591311665208588
308,0.45910806566166745,0.45912573248014
309,0.4591025830475067,0.4591203488094937
310,0.45909715273716994,0.4591150148810595
311,0.45909177406961027,0.45910973007612527
312,0.45908644639346635,0.45910449378498025
313,0.45908116906690843,0.45909930540677246
314,0.4590759414574853,0.4590941643493666
315,0.45907076294197435,0.459089070029206
316,0.45906563290623514,0.45908402187117625
317,0.4590605507450638,0.4590790193084714
318,0.4590555158620514,0.45907406178246163
319,0.4590505276694441,0.45906914874256494
320,0.45904558558800557,0.45906427964611884
321,0.459040689046882,0.459059453958256
322,0.45903583748346977,0.45905467115178133
323,0.4590310303432845,0.4590499307070509
324,0.459026267079833,0.45904523211185355
325,0.4590215471544874,0.4590405748612934
326,0.459016870036361,0.4590359584576761
327,0.4590122352021863,0.45903138241039515
328,0.45900764213619605,0.45902684623582174
329,0.4590030903300046,0.4590223494571949
330,0.4589985792824924,0.4590178916045149
331,0.4589941084996928,0.45901347221443745
332,0.4589896774946793,0.45900909083017044
333,0.45898528578745657,0.45900474700137156
334,0.458980932904851,0.4590004402840484
335,0.4589766183804058,0.4589961702404604
336,0.45897234175427565,0.45899193643902053
337,0.4589681025731239,0.4589877384542018
338,0.4589639003900218,0.4589835758664423
339,0.45895973476434887,0.4589794482620536
340,0.4589556052616955,0.4589753552331303
341,0.45895151145376634,0.4589712963774606
342,0.4589474529182865,0.4589672712984388
343,0.4589434292389077,0.45896327960497935
344,0.458939440005118,0.45895932091143193
345,0.4589354848121508,0.458955394837498
346,0.45893156326089724,0.4589515010081491
347,0.45892767495781883,0.4589476390535464
348,0.45892381951486244,0.45894380860896083
349,0.4589199965493756,0.45894000931469553
350,0.45891620568402425,0.4589362408160092
351,0.4589124465467111,0.4589325027630403
352,0.45890871877049605,0.4589287948107335
353,0.45890502199351696,0.45892511661876556
354,0.4589013558589128,0.458921467851475
355,0.4588977200147468,0.4589178481777901
356,0.45889411411393244,0.4589142572711603
357,0.45889053781415917,0.45891069480948765
358,0.45888699077782,0.4589071604750595
359,0.4588834726719404,0.45890365395448185
360,0.458879983168108,0.45890017493861557
361,0.45887652194240397,0.45889672312251095
362,0.4588730886753345,0.4588932982053457
363,0.4588696830517645,0.45888989989036244
364,0.45886630476085205,0.4588865278848081
365,0.45886295349598316,0.4588831818998737
366,0.458859628954709,0.4588798616506354
